日付,りんこ食事,そうた食事,りんこ症状,そうた症状,りんこ体重,そうた体重,メモ
2021-07-24,,,誤飲,,,,飼い主44歳誕生日近く
2021-10-08,,,,血尿検査,,,
2021-12-26,,,誤飲,,,,薬ナナ
2021-12-29,,,誤飲・入院,,,,ぬのかわ動物病院 入院（年末緊急入院）
2022-06-04,,,下痢,,,,
2022-06-06,,,下痢 治る,,,,
2024-08-13,,,ゲロ,,,,
2024-08-15,,,ゲロ,RSワクチン・健診,,,7歳誕生日
2024-10-01,,,,,,,リン療法食開始（腎臓ケア）
2025-02-20,,,,,,,そうたに乗っかられ右腕痛
2025-08-10,,,健診・ワクチン,健診・ワクチン,,,8歳健診
2025-08-17,,,肝臓数値悪・血尿,,,,
2026-05-20,完食,完食,嘔吐・ゲロ,,4.2,5.4,
2026-05-21,完食,完食,異常なし,異常なし,,,
2026-05-22,完食,完食,"異常なし,嘔吐","異常なし,ゲロ",,,
2026-05-23,完食,完食,,,,,
2026-05-24,完食,完食,異常なし,異常なし,,,
2026-05-25,完食,完食,異常なし,異常なし,,,
2026-05-28,完食,完食,異常なし,異常なし,,,
2026-05-29,完食,完食,"ゲロ,吐き戻し",異常なし,4.3,5.0,
2026-05-30,完食,完食,異常なし,異常なし,,,
2026-05-31,完食,完食,異常なし,異常なし,,,
2026-06-01,完食,完食,異常なし,吐き戻し,,4.9,そうた:ごはん多めにあげた
2026-06-02,完食,完食,異常なし,異常なし,,,
2026-06-03,完食,完食,異常なし,異常なし,,,
2026-06-04,完食,完食,異常なし,異常なし,,,
2026-06-05,食べず,完食,異常なし,異常なし,,,
2026-06-06,,,異常なし,異常なし,,,りんこ:へんなシールみたいなやつ食べた
2026-06-07,,,"異常なし,くしゃみ",異常なし,,5.0,
2026-06-08,,,異常なし,異常なし,,,
2026-06-09,,,異常なし,異常なし,,,
2026-06-10,,,異常なし,異常なし,,,
2026-06-11,,,異常なし,異常なし,,,
2026-06-12,,,異常なし,異常なし,,,
2026-06-13,,,,,4.3,,そうた:砂トイレ気に入る。しかし臭くなる / りんこ:砂トイレ気に入る。しかし臭くなる
2026-06-21,,,異常なし,異常なし,,,
2026-06-22,,,,,,,りんこ::毛玉吐いた / そうた:元気
2026-06-23,,,異常なし,異常なし,,,
2026-06-25,,,吐き戻し,,,,そうた:元気
